remedy,symptoms,disease,potency,source
Apis Mellifica,itching; chronic eruptions; vesicular eruptions; dull skin; pigmentation,allergy,30C,synthetic materia medica
Calcarea Sulph,dry skin; pigmentation; facial eruptions; pimples; swelling; eczema,general,6X,synthetic materia medica
Lycopodium,hormonal acne; swelling; vesicular eruptions; pimples; facial eruptions; cracked skin,hormonal,200C,synthetic materia medica
Bryonia,facial eruptions; acne; dull skin; eczema; oily skin; sensitive skin,general,30C,synthetic materia medica
Kali Bromatum,allergic rash; sensitive skin; burning; cracked skin; vesicular eruptions,skin,Q,synthetic materia medica
Calcarea Sulph,rash; hormonal acne; chronic eruptions; pimples; vesicular eruptions; itching,skin,30C,synthetic materia medica
Calcarea Sulph,sensitive skin; rash; allergic rash; eczema; oily skin,chronic,6X,synthetic materia medica
Mercurius Solubilis,dry skin; rash; cracked skin; burning; oily skin,general,200C,synthetic materia medica
Pulsatilla,dull skin; pus formation; eczema; itching; chronic eruptions; burning,skin,6X,synthetic materia medica
Thuja Occidentalis,dull skin; pus formation; dry skin,allergy,30C,synthetic materia medica
Antimonium Crudum,dull skin; hormonal acne; eczema; pus formation; pigmentation; allergic rash,allergy,6X,synthetic materia medica
Sulphur,hormonal acne; vesicular eruptions; itching; eczema; burning,hormonal,30C,synthetic materia medica
Nux Vomica,cracked skin; allergic rash; burning; oily skin; chronic eruptions; acne,general,30C,synthetic materia medica
Sepia,swelling; pimples; eczema; dry skin,acute inflammation,6X,synthetic materia medica
Rhus Toxicodendron,hormonal acne; rash; burning; dry skin,skin,30C,synthetic materia medica
Lycopodium,oily skin; chronic eruptions; dull skin,allergy,30C,synthetic materia medica
Kali Bromatum,pigmentation; acne; rash; eczema,acute inflammation,200C,synthetic materia medica
Belladonna,itching; oily skin; cracked skin,general,6X,synthetic materia medica
Bryonia,dry skin; eczema; rash; redness; swelling,acute inflammation,6X,synthetic materia medica
Arsenicum Album,swelling; itching; burning,acute inflammation,Q,synthetic materia medica
Mercurius Solubilis,swelling; dry skin; facial eruptions; cracked skin; dull skin,hormonal,Q,synthetic materia medica
Thuja Occidentalis,dull skin; pimples; pus formation; vesicular eruptions; chronic eruptions,acute inflammation,200C,synthetic materia medica
Rhus Toxicodendron,eczema; pigmentation; pus formation; dull skin; vesicular eruptions; allergic rash,acute inflammation,6X,synthetic materia medica
Apis Mellifica,oily skin; rash; redness,skin,30C,synthetic materia medica
Kali Bromatum,pimples; sensitive skin; oily skin; chronic eruptions; dull skin; itching,acute inflammation,6X,synthetic materia medica
Pulsatilla,pus formation; acne; pimples; allergic rash; redness; dull skin,acute inflammation,200C,synthetic materia medica
Pulsatilla,cracked skin; itching; sensitive skin; pimples; swelling; burning,hormonal,Q,synthetic materia medica
Thuja Occidentalis,pus formation; redness; dry skin; pigmentation; allergic rash; cracked skin,chronic,6X,synthetic materia medica
Sulphur,dull skin; acne; redness; sensitive skin,allergy,6X,synthetic materia medica
Bryonia,allergic rash; redness; burning; sensitive skin,allergy,30C,synthetic materia medica
Graphites,acne; allergic rash; hormonal acne; pimples; dull skin,allergy,Q,synthetic materia medica
Hepar Sulph,vesicular eruptions; acne; rash; dry skin; pimples,skin,Q,synthetic materia medica
Kali Bromatum,hormonal acne; acne; pigmentation; vesicular eruptions,acute inflammation,200C,synthetic materia medica
Rhus Toxicodendron,rash; cracked skin; redness; oily skin; acne; chronic eruptions,skin,200C,synthetic materia medica
Apis Mellifica,facial eruptions; oily skin; allergic rash,general,30C,synthetic materia medica
Antimonium Crudum,oily skin; pimples; sensitive skin; cracked skin; pus formation,acute inflammation,Q,synthetic materia medica
Apis Mellifica,rash; itching; pimples,hormonal,30C,synthetic materia medica
Lycopodium,swelling; hormonal acne; burning,chronic,200C,synthetic materia medica
Antimonium Crudum,hormonal acne; vesicular eruptions; sensitive skin,acute inflammation,200C,synthetic materia medica
Bryonia,vesicular eruptions; hormonal acne; rash; burning; acne; chronic eruptions,general,30C,synthetic materia medica
Lycopodium,acne; facial eruptions; hormonal acne; pigmentation,general,6X,synthetic materia medica
Natrum Muriaticum,dull skin; acne; itching; sensitive skin; pus formation; swelling,chronic,6X,synthetic materia medica
Apis Mellifica,dull skin; hormonal acne; pigmentation,chronic,30C,synthetic materia medica
Silicea,dry skin; allergic rash; dull skin,skin,30C,synthetic materia medica
Mercurius Solubilis,redness; swelling; sensitive skin; dry skin; itching,general,200C,synthetic materia medica
Nux Vomica,burning; redness; rash; swelling,hormonal,6X,synthetic materia medica
Rhus Toxicodendron,acne; vesicular eruptions; hormonal acne; rash; pimples; oily skin,skin,200C,synthetic materia medica
Silicea,redness; itching; eczema; hormonal acne,general,30C,synthetic materia medica
Antimonium Crudum,sensitive skin; redness; dull skin; dry skin; chronic eruptions,allergy,200C,synthetic materia medica
Calcarea Sulph,dry skin; cracked skin; chronic eruptions; acne,chronic,Q,synthetic materia medica
Sulphur,dull skin; eczema; vesicular eruptions; facial eruptions; hormonal acne,general,200C,synthetic materia medica
Bryonia,oily skin; pigmentation; hormonal acne; pus formation; dry skin; itching,allergy,Q,synthetic materia medica
Graphites,vesicular eruptions; pus formation; pigmentation,acute inflammation,Q,synthetic materia medica
Nux Vomica,chronic eruptions; redness; dull skin; pimples; swelling,general,Q,synthetic materia medica
Pulsatilla,eczema; redness; vesicular eruptions; itching; facial eruptions,hormonal,200C,synthetic materia medica
Nux Vomica,rash; dry skin; burning; itching; pigmentation,chronic,6X,synthetic materia medica
Thuja Occidentalis,rash; chronic eruptions; vesicular eruptions; pimples,general,6X,synthetic materia medica
Belladonna,itching; chronic eruptions; vesicular eruptions; burning; pigmentation; allergic rash,chronic,6X,synthetic materia medica
Bryonia,redness; facial eruptions; hormonal acne; pus formation,acute inflammation,Q,synthetic materia medica
Calcarea Sulph,burning; itching; chronic eruptions,allergy,6X,synthetic materia medica
Graphites,rash; sensitive skin; allergic rash,skin,200C,synthetic materia medica
Kali Bromatum,redness; dry skin; chronic eruptions,acute inflammation,30C,synthetic materia medica
Nux Vomica,chronic eruptions; allergic rash; hormonal acne,allergy,6X,synthetic materia medica
Nux Vomica,dull skin; dry skin; redness,skin,30C,synthetic materia medica
Rhus Toxicodendron,swelling; chronic eruptions; dry skin; hormonal acne; dull skin,hormonal,6X,synthetic materia medica
Antimonium Crudum,redness; allergic rash; vesicular eruptions; pus formation; pimples,hormonal,6X,synthetic materia medica
Apis Mellifica,chronic eruptions; eczema; cracked skin; pimples,general,200C,synthetic materia medica
Rhus Toxicodendron,redness; sensitive skin; cracked skin; eczema; oily skin,general,30C,synthetic materia medica
Kali Bromatum,redness; eczema; chronic eruptions,acute inflammation,Q,synthetic materia medica
Arsenicum Album,allergic rash; rash; sensitive skin; facial eruptions; pigmentation; dull skin,chronic,Q,synthetic materia medica
Kali Bromatum,itching; swelling; dull skin,allergy,6X,synthetic materia medica
Pulsatilla,dull skin; hormonal acne; pimples; allergic rash; facial eruptions; itching,skin,30C,synthetic materia medica
Berberis Aquifolium,rash; allergic rash; itching; sensitive skin; pimples; acne,acute inflammation,Q,synthetic materia medica
Sulphur,chronic eruptions; pigmentation; pus formation,chronic,6X,synthetic materia medica
Belladonna,allergic rash; hormonal acne; vesicular eruptions; chronic eruptions,chronic,30C,synthetic materia medica
Belladonna,pigmentation; pimples; sensitive skin,allergy,6X,synthetic materia medica
Silicea,itching; cracked skin; sensitive skin; swelling; dull skin; chronic eruptions,general,6X,synthetic materia medica
Nux Vomica,cracked skin; rash; pus formation; oily skin; facial eruptions,hormonal,200C,synthetic materia medica
Lycopodium,oily skin; pimples; acne; sensitive skin; hormonal acne,acute inflammation,Q,synthetic materia medica
Arsenicum Album,swelling; rash; itching; pigmentation; sensitive skin; chronic eruptions,general,Q,synthetic materia medica
Pulsatilla,pigmentation; pus formation; dry skin; allergic rash,hormonal,200C,synthetic materia medica
Apis Mellifica,sensitive skin; pimples; redness,allergy,200C,synthetic materia medica
Pulsatilla,rash; dull skin; pus formation; chronic eruptions; dry skin; allergic rash,allergy,Q,synthetic materia medica
Kali Bromatum,redness; oily skin; vesicular eruptions,skin,6X,synthetic materia medica
Bryonia,acne; dry skin; pigmentation; swelling; redness; dull skin,acute inflammation,6X,synthetic materia medica
Antimonium Crudum,pigmentation; allergic rash; oily skin; chronic eruptions; vesicular eruptions,chronic,6X,synthetic materia medica
Apis Mellifica,dry skin; hormonal acne; pigmentation; facial eruptions,allergy,6X,synthetic materia medica
Antimonium Crudum,chronic eruptions; facial eruptions; burning; dull skin; sensitive skin; cracked skin,chronic,30C,synthetic materia medica
Mercurius Solubilis,oily skin; itching; allergic rash; dull skin,allergy,30C,synthetic materia medica
Belladonna,swelling; pigmentation; vesicular eruptions; acne; itching; allergic rash,allergy,200C,synthetic materia medica
Silicea,dull skin; facial eruptions; pus formation; pimples,skin,Q,synthetic materia medica
Graphites,chronic eruptions; pimples; facial eruptions; acne,acute inflammation,Q,synthetic materia medica
Kali Bromatum,burning; redness; pimples; facial eruptions; rash; itching,acute inflammation,200C,synthetic materia medica
Graphites,pimples; pus formation; acne; burning; itching,general,30C,synthetic materia medica
Berberis Aquifolium,burning; redness; itching,allergy,200C,synthetic materia medica
Arsenicum Album,allergic rash; oily skin; chronic eruptions; itching; pimples; vesicular eruptions,hormonal,200C,synthetic materia medica
Calcarea Sulph,dull skin; cracked skin; pigmentation; redness,general,6X,synthetic materia medica
Natrum Muriaticum,cracked skin; rash; acne,general,200C,synthetic materia medica
Hepar Sulph,cracked skin; redness; dry skin; dull skin; chronic eruptions,hormonal,30C,synthetic materia medica
Hepar Sulph,allergic rash; facial eruptions; pimples; dull skin; redness,acute inflammation,30C,synthetic materia medica
Berberis Aquifolium,pimples; allergic rash; oily skin; itching; redness,allergy,Q,synthetic materia medica
Berberis Aquifolium,facial eruptions; cracked skin; pigmentation; chronic eruptions,general,Q,synthetic materia medica
Silicea,pigmentation; swelling; hormonal acne; dull skin; rash; allergic rash,skin,200C,synthetic materia medica
Nux Vomica,dull skin; facial eruptions; pus formation; redness,skin,200C,synthetic materia medica
Apis Mellifica,oily skin; sensitive skin; pus formation; pimples; allergic rash,skin,Q,synthetic materia medica
Mercurius Solubilis,dry skin; sensitive skin; eczema,general,Q,synthetic materia medica
Mercurius Solubilis,pus formation; dull skin; eczema; acne; hormonal acne; facial eruptions,acute inflammation,Q,synthetic materia medica
Hepar Sulph,redness; sensitive skin; pigmentation; dry skin; pimples; hormonal acne,chronic,Q,synthetic materia medica
Belladonna,facial eruptions; cracked skin; burning,allergy,200C,synthetic materia medica
Apis Mellifica,swelling; acne; dry skin; vesicular eruptions; oily skin,skin,Q,synthetic materia medica
Hepar Sulph,burning; cracked skin; oily skin; facial eruptions,allergy,30C,synthetic materia medica
Arsenicum Album,pimples; pus formation; sensitive skin; oily skin; vesicular eruptions; facial eruptions,allergy,6X,synthetic materia medica
Belladonna,facial eruptions; dull skin; chronic eruptions; redness,allergy,6X,synthetic materia medica
Apis Mellifica,pimples; allergic rash; rash,allergy,30C,synthetic materia medica
Antimonium Crudum,facial eruptions; eczema; dry skin; oily skin; rash; vesicular eruptions,hormonal,30C,synthetic materia medica
Thuja Occidentalis,pus formation; eczema; pimples; dry skin; pigmentation; dull skin,hormonal,6X,synthetic materia medica
Mercurius Solubilis,allergic rash; sensitive skin; facial eruptions,hormonal,30C,synthetic materia medica
Belladonna,pimples; facial eruptions; acne; dry skin; eczema,allergy,6X,synthetic materia medica
Belladonna,vesicular eruptions; chronic eruptions; cracked skin; pus formation; sensitive skin,hormonal,200C,synthetic materia medica
Pulsatilla,facial eruptions; swelling; eczema; dull skin; burning; sensitive skin,acute inflammation,Q,synthetic materia medica
Sulphur,sensitive skin; vesicular eruptions; rash,hormonal,6X,synthetic materia medica
Silicea,cracked skin; burning; redness; sensitive skin; eczema,hormonal,200C,synthetic materia medica
Silicea,oily skin; pimples; pus formation,skin,30C,synthetic materia medica
Nux Vomica,redness; sensitive skin; pigmentation; itching; dull skin,allergy,6X,synthetic materia medica
Apis Mellifica,burning; chronic eruptions; eczema; allergic rash,acute inflammation,Q,synthetic materia medica
Graphites,rash; chronic eruptions; vesicular eruptions; itching; redness; cracked skin,acute inflammation,200C,synthetic materia medica
Belladonna,burning; dull skin; acne,hormonal,6X,synthetic materia medica
Arsenicum Album,dull skin; acne; chronic eruptions,allergy,30C,synthetic materia medica
Nux Vomica,rash; dry skin; acne; sensitive skin,skin,200C,synthetic materia medica
Rhus Toxicodendron,pus formation; chronic eruptions; cracked skin; redness,chronic,6X,synthetic materia medica
Pulsatilla,redness; cracked skin; dull skin,allergy,6X,synthetic materia medica
Kali Bromatum,vesicular eruptions; hormonal acne; swelling; pus formation; rash,chronic,200C,synthetic materia medica
Berberis Aquifolium,facial eruptions; dull skin; acne,skin,30C,synthetic materia medica
Berberis Aquifolium,facial eruptions; rash; cracked skin; hormonal acne; swelling; itching,chronic,30C,synthetic materia medica
Natrum Muriaticum,redness; vesicular eruptions; sensitive skin; swelling; hormonal acne,hormonal,30C,synthetic materia medica
Silicea,sensitive skin; hormonal acne; vesicular eruptions,hormonal,Q,synthetic materia medica
Rhus Toxicodendron,oily skin; sensitive skin; hormonal acne,skin,Q,synthetic materia medica
Arsenicum Album,itching; pigmentation; vesicular eruptions; cracked skin; rash; sensitive skin,hormonal,200C,synthetic materia medica
Bryonia,burning; dry skin; vesicular eruptions,allergy,200C,synthetic materia medica
Rhus Toxicodendron,hormonal acne; facial eruptions; pus formation,allergy,200C,synthetic materia medica
Rhus Toxicodendron,pigmentation; rash; sensitive skin; hormonal acne; eczema; cracked skin,allergy,30C,synthetic materia medica
Rhus Toxicodendron,chronic eruptions; redness; oily skin; eczema; sensitive skin,hormonal,200C,synthetic materia medica
Graphites,rash; eczema; allergic rash,skin,200C,synthetic materia medica
Graphites,swelling; dull skin; pimples; pus formation; allergic rash,allergy,6X,synthetic materia medica
Sepia,oily skin; pus formation; redness,general,200C,synthetic materia medica
Belladonna,dry skin; hormonal acne; allergic rash; burning,general,6X,synthetic materia medica
Silicea,allergic rash; rash; chronic eruptions,hormonal,30C,synthetic materia medica
Apis Mellifica,rash; oily skin; hormonal acne; dull skin,allergy,6X,synthetic materia medica
Arsenicum Album,allergic rash; dry skin; pimples,general,Q,synthetic materia medica
Berberis Aquifolium,allergic rash; acne; chronic eruptions; redness,skin,6X,synthetic materia medica
Kali Bromatum,redness; chronic eruptions; cracked skin; sensitive skin; pus formation; rash,chronic,200C,synthetic materia medica
Rhus Toxicodendron,rash; itching; vesicular eruptions; swelling; pus formation; dull skin,acute inflammation,Q,synthetic materia medica
Berberis Aquifolium,oily skin; chronic eruptions; sensitive skin; pigmentation; hormonal acne; swelling,hormonal,200C,synthetic materia medica
Arsenicum Album,acne; itching; facial eruptions; pimples; oily skin; chronic eruptions,general,30C,synthetic materia medica
Thuja Occidentalis,swelling; eczema; pimples; facial eruptions; burning; acne,skin,200C,synthetic materia medica
Sepia,swelling; oily skin; dry skin; chronic eruptions; pigmentation,allergy,200C,synthetic materia medica
Mercurius Solubilis,vesicular eruptions; chronic eruptions; pigmentation; facial eruptions; swelling,hormonal,200C,synthetic materia medica
Rhus Toxicodendron,redness; swelling; burning; cracked skin; vesicular eruptions,acute inflammation,Q,synthetic materia medica
Sulphur,cracked skin; redness; pigmentation,skin,200C,synthetic materia medica
Thuja Occidentalis,eczema; acne; swelling,skin,200C,synthetic materia medica
Natrum Muriaticum,sensitive skin; pus formation; dull skin; acne,acute inflammation,30C,synthetic materia medica
Antimonium Crudum,cracked skin; eczema; facial eruptions; oily skin,allergy,200C,synthetic materia medica
Silicea,facial eruptions; oily skin; hormonal acne; pigmentation; vesicular eruptions; redness,acute inflammation,200C,synthetic materia medica
Arsenicum Album,acne; chronic eruptions; cracked skin; pus formation; oily skin; swelling,acute inflammation,6X,synthetic materia medica
Antimonium Crudum,swelling; redness; oily skin; sensitive skin; burning; eczema,general,6X,synthetic materia medica
Thuja Occidentalis,facial eruptions; oily skin; swelling; allergic rash,general,30C,synthetic materia medica
Mercurius Solubilis,allergic rash; pimples; dry skin; redness; facial eruptions,acute inflammation,6X,synthetic materia medica
Natrum Muriaticum,itching; oily skin; pus formation,general,200C,synthetic materia medica
Apis Mellifica,dull skin; hormonal acne; acne,hormonal,30C,synthetic materia medica
Lycopodium,chronic eruptions; burning; pus formation,allergy,30C,synthetic materia medica
Mercurius Solubilis,cracked skin; dull skin; burning,chronic,6X,synthetic materia medica
Sulphur,itching; swelling; pigmentation,hormonal,Q,synthetic materia medica
Natrum Muriaticum,pimples; pus formation; redness; rash; pigmentation,general,30C,synthetic materia medica
Natrum Muriaticum,oily skin; swelling; eczema; pimples; dull skin,chronic,200C,synthetic materia medica
Arsenicum Album,facial eruptions; pus formation; dry skin; chronic eruptions,chronic,6X,synthetic materia medica
Antimonium Crudum,pus formation; cracked skin; swelling; oily skin; acne; sensitive skin,hormonal,30C,synthetic materia medica
Graphites,rash; dry skin; pimples; sensitive skin; swelling; eczema,general,200C,synthetic materia medica
Hepar Sulph,pigmentation; dry skin; sensitive skin; swelling; chronic eruptions; itching,hormonal,200C,synthetic materia medica
Pulsatilla,eczema; dull skin; oily skin; pigmentation; sensitive skin; chronic eruptions,skin,Q,synthetic materia medica
Thuja Occidentalis,hormonal acne; facial eruptions; swelling; sensitive skin; chronic eruptions,general,6X,synthetic materia medica
Silicea,sensitive skin; itching; dull skin,allergy,30C,synthetic materia medica
Calcarea Sulph,oily skin; vesicular eruptions; dry skin; rash; facial eruptions; redness,general,30C,synthetic materia medica
Nux Vomica,swelling; facial eruptions; allergic rash; oily skin,general,30C,synthetic materia medica
Graphites,pimples; eczema; itching; rash,general,6X,synthetic materia medica
Mercurius Solubilis,acne; facial eruptions; hormonal acne; dry skin; itching; vesicular eruptions,hormonal,200C,synthetic materia medica
Sepia,pimples; vesicular eruptions; itching; cracked skin; redness,general,6X,synthetic materia medica
Sepia,itching; pimples; redness; chronic eruptions,allergy,30C,synthetic materia medica
Sulphur,hormonal acne; swelling; vesicular eruptions; acne; oily skin,hormonal,Q,synthetic materia medica
Kali Bromatum,sensitive skin; vesicular eruptions; chronic eruptions; facial eruptions; cracked skin; oily skin,allergy,30C,synthetic materia medica
Nux Vomica,redness; dry skin; hormonal acne; pigmentation; acne; sensitive skin,allergy,30C,synthetic materia medica
Apis Mellifica,chronic eruptions; burning; itching,acute inflammation,200C,synthetic materia medica
Sulphur,hormonal acne; itching; chronic eruptions; burning; pimples,general,6X,synthetic materia medica
Kali Bromatum,pimples; itching; hormonal acne,general,Q,synthetic materia medica
Hepar Sulph,vesicular eruptions; cracked skin; pigmentation; allergic rash; pus formation; itching,general,200C,synthetic materia medica
Graphites,chronic eruptions; pigmentation; oily skin; pimples; eczema,skin,6X,synthetic materia medica
Calcarea Sulph,oily skin; dry skin; acne; facial eruptions; redness,chronic,6X,synthetic materia medica
Natrum Muriaticum,oily skin; itching; sensitive skin; burning; allergic rash,allergy,200C,synthetic materia medica
Calcarea Sulph,chronic eruptions; rash; hormonal acne; pus formation,allergy,Q,synthetic materia medica
Nux Vomica,itching; hormonal acne; pus formation; vesicular eruptions; pigmentation; chronic eruptions,general,200C,synthetic materia medica
Rhus Toxicodendron,cracked skin; oily skin; vesicular eruptions; facial eruptions,acute inflammation,Q,synthetic materia medica
Silicea,oily skin; dull skin; eczema; pimples; facial eruptions,chronic,30C,synthetic materia medica
Rhus Toxicodendron,dull skin; swelling; pus formation; pigmentation; eczema; burning,general,200C,synthetic materia medica
Rhus Toxicodendron,cracked skin; hormonal acne; oily skin; allergic rash,hormonal,200C,synthetic materia medica
Sepia,pigmentation; chronic eruptions; sensitive skin; hormonal acne,chronic,Q,synthetic materia medica
Kali Bromatum,dry skin; sensitive skin; acne; facial eruptions; vesicular eruptions; redness,skin,30C,synthetic materia medica
Bryonia,pus formation; burning; facial eruptions; eczema,skin,Q,synthetic materia medica
Sepia,itching; swelling; dry skin; redness; hormonal acne,general,200C,synthetic materia medica
Berberis Aquifolium,pigmentation; swelling; burning; sensitive skin,acute inflammation,6X,synthetic materia medica
Rhus Toxicodendron,itching; acne; vesicular eruptions; burning,skin,200C,synthetic materia medica
Antimonium Crudum,oily skin; swelling; vesicular eruptions; cracked skin; itching,general,200C,synthetic materia medica
Natrum Muriaticum,burning; hormonal acne; redness; allergic rash; pimples; eczema,hormonal,30C,synthetic materia medica
Sulphur,rash; oily skin; dull skin,acute inflammation,30C,synthetic materia medica
Hepar Sulph,vesicular eruptions; hormonal acne; pimples; pigmentation; acne,general,30C,synthetic materia medica
Rhus Toxicodendron,acne; pus formation; redness,hormonal,6X,synthetic materia medica
Mercurius Solubilis,sensitive skin; pigmentation; chronic eruptions,chronic,30C,synthetic materia medica
Kali Bromatum,oily skin; burning; facial eruptions,general,Q,synthetic materia medica
Lycopodium,dry skin; allergic rash; dull skin; cracked skin; pus formation; oily skin,acute inflammation,Q,synthetic materia medica
Sepia,itching; pimples; oily skin; pus formation,skin,Q,synthetic materia medica
Apis Mellifica,acne; pigmentation; facial eruptions; rash,general,Q,synthetic materia medica
Mercurius Solubilis,chronic eruptions; sensitive skin; pigmentation; dull skin,allergy,6X,synthetic materia medica
Rhus Toxicodendron,pigmentation; oily skin; redness,hormonal,30C,synthetic materia medica
Pulsatilla,vesicular eruptions; itching; redness,skin,30C,synthetic materia medica
Arsenicum Album,hormonal acne; swelling; acne; pimples,chronic,Q,synthetic materia medica
Nux Vomica,rash; hormonal acne; chronic eruptions; cracked skin; pigmentation,skin,30C,synthetic materia medica
Lycopodium,itching; cracked skin; dry skin; allergic rash; acne,hormonal,Q,synthetic materia medica
Natrum Muriaticum,vesicular eruptions; dull skin; chronic eruptions; redness; pigmentation; dry skin,skin,200C,synthetic materia medica
Lycopodium,oily skin; acne; hormonal acne; dull skin,acute inflammation,Q,synthetic materia medica
Arsenicum Album,burning; pus formation; pigmentation,skin,Q,synthetic materia medica
Silicea,acne; sensitive skin; pimples; rash; burning,hormonal,6X,synthetic materia medica
Mercurius Solubilis,facial eruptions; pimples; sensitive skin; oily skin; vesicular eruptions; rash,allergy,30C,synthetic materia medica
Natrum Muriaticum,chronic eruptions; itching; pigmentation; vesicular eruptions,allergy,200C,synthetic materia medica
Hepar Sulph,chronic eruptions; allergic rash; pimples; acne,general,Q,synthetic materia medica
Arsenicum Album,dry skin; itching; swelling,general,200C,synthetic materia medica
Hepar Sulph,chronic eruptions; redness; facial eruptions; acne; pus formation; burning,chronic,Q,synthetic materia medica
Natrum Muriaticum,chronic eruptions; dull skin; allergic rash,hormonal,Q,synthetic materia medica
Antimonium Crudum,allergic rash; sensitive skin; burning; pigmentation; eczema; oily skin,skin,30C,synthetic materia medica
Nux Vomica,facial eruptions; dry skin; sensitive skin; vesicular eruptions; allergic rash,acute inflammation,6X,synthetic materia medica
Lycopodium,vesicular eruptions; itching; hormonal acne; facial eruptions,acute inflammation,6X,synthetic materia medica
Pulsatilla,swelling; pigmentation; pus formation; oily skin; hormonal acne,hormonal,Q,synthetic materia medica
Mercurius Solubilis,pus formation; rash; facial eruptions; hormonal acne,acute inflammation,Q,synthetic materia medica
Calcarea Sulph,acne; dry skin; dull skin,acute inflammation,200C,synthetic materia medica
Bryonia,acne; eczema; redness; pus formation; vesicular eruptions; facial eruptions,allergy,Q,synthetic materia medica
Silicea,pigmentation; redness; vesicular eruptions,acute inflammation,30C,synthetic materia medica
Hepar Sulph,vesicular eruptions; pimples; dull skin; facial eruptions; pigmentation; eczema,hormonal,200C,synthetic materia medica
Antimonium Crudum,eczema; pus formation; itching; acne,allergy,6X,synthetic materia medica
Calcarea Sulph,cracked skin; redness; chronic eruptions; dull skin,hormonal,6X,synthetic materia medica
Rhus Toxicodendron,itching; chronic eruptions; cracked skin; acne; sensitive skin,skin,6X,synthetic materia medica
Lycopodium,acne; cracked skin; chronic eruptions; sensitive skin; pigmentation; rash,acute inflammation,Q,synthetic materia medica
Nux Vomica,sensitive skin; dull skin; facial eruptions; chronic eruptions; oily skin,allergy,Q,synthetic materia medica
Arsenicum Album,facial eruptions; pimples; eczema; oily skin,allergy,30C,synthetic materia medica
Berberis Aquifolium,pimples; dull skin; dry skin; hormonal acne; burning; oily skin,skin,200C,synthetic materia medica
Antimonium Crudum,dry skin; rash; allergic rash; vesicular eruptions; swelling; acne,acute inflammation,Q,synthetic materia medica
Mercurius Solubilis,eczema; allergic rash; acne; pigmentation; oily skin,general,200C,synthetic materia medica
Bryonia,pus formation; vesicular eruptions; chronic eruptions; facial eruptions; rash,hormonal,Q,synthetic materia medica
Calcarea Sulph,cracked skin; dry skin; burning; pimples; itching,acute inflammation,6X,synthetic materia medica
Sulphur,itching; pigmentation; cracked skin; dull skin; oily skin,hormonal,Q,synthetic materia medica
Apis Mellifica,redness; dull skin; pus formation; acne; facial eruptions,chronic,Q,synthetic materia medica
Nux Vomica,oily skin; redness; pus formation; hormonal acne,allergy,30C,synthetic materia medica
Antimonium Crudum,redness; itching; oily skin; eczema; swelling,acute inflammation,Q,synthetic materia medica
Natrum Muriaticum,rash; dull skin; eczema,chronic,6X,synthetic materia medica
Silicea,pus formation; rash; sensitive skin; eczema; swelling; dull skin,hormonal,Q,synthetic materia medica
Thuja Occidentalis,itching; eczema; facial eruptions; oily skin; rash; vesicular eruptions,allergy,Q,synthetic materia medica
Calcarea Sulph,dry skin; acne; facial eruptions; swelling; hormonal acne; cracked skin,chronic,Q,synthetic materia medica
Kali Bromatum,pigmentation; dull skin; allergic rash; pimples; hormonal acne,general,6X,synthetic materia medica
Thuja Occidentalis,swelling; acne; itching,skin,30C,synthetic materia medica
Arsenicum Album,facial eruptions; itching; swelling; dry skin; acne; redness,chronic,30C,synthetic materia medica
Lycopodium,chronic eruptions; acne; sensitive skin; hormonal acne; rash,hormonal,Q,synthetic materia medica
Graphites,dull skin; cracked skin; acne; pus formation,hormonal,30C,synthetic materia medica
Graphites,hormonal acne; facial eruptions; pus formation; eczema; swelling,allergy,30C,synthetic materia medica
Nux Vomica,burning; dry skin; pigmentation; dull skin; redness; hormonal acne,skin,200C,synthetic materia medica
Graphites,hormonal acne; allergic rash; swelling; sensitive skin; dry skin; redness,hormonal,200C,synthetic materia medica
Arsenicum Album,eczema; chronic eruptions; vesicular eruptions; burning; redness,allergy,6X,synthetic materia medica
Calcarea Sulph,oily skin; hormonal acne; chronic eruptions; dull skin; dry skin; vesicular eruptions,skin,6X,synthetic materia medica
Graphites,oily skin; dry skin; cracked skin; pigmentation; chronic eruptions; pus formation,skin,6X,synthetic materia medica
Apis Mellifica,itching; facial eruptions; hormonal acne; cracked skin; acne,acute inflammation,30C,synthetic materia medica
Pulsatilla,allergic rash; pigmentation; sensitive skin; dull skin; chronic eruptions; burning,hormonal,30C,synthetic materia medica
Arsenicum Album,hormonal acne; redness; acne; pus formation; vesicular eruptions,acute inflammation,Q,synthetic materia medica
Calcarea Sulph,allergic rash; eczema; pus formation; pimples,general,6X,synthetic materia medica
Lycopodium,pus formation; chronic eruptions; eczema; pimples; burning,acute inflammation,6X,synthetic materia medica
Arsenicum Album,oily skin; hormonal acne; sensitive skin,hormonal,200C,synthetic materia medica
Thuja Occidentalis,dull skin; vesicular eruptions; sensitive skin; swelling; pimples; cracked skin,hormonal,6X,synthetic materia medica
Rhus Toxicodendron,oily skin; redness; rash; vesicular eruptions; allergic rash; cracked skin,acute inflammation,6X,synthetic materia medica
Pulsatilla,hormonal acne; sensitive skin; dry skin; redness; pus formation,allergy,200C,synthetic materia medica
Rhus Toxicodendron,pigmentation; cracked skin; redness; pus formation,skin,Q,synthetic materia medica
Lycopodium,sensitive skin; pimples; cracked skin; burning; swelling,allergy,Q,synthetic materia medica
Pulsatilla,redness; pus formation; vesicular eruptions; allergic rash; dull skin,skin,200C,synthetic materia medica
